date,ticker,open,high,low,close,volume,daily_return_pct,log_return,intraday_range_pct,overnight_gap_pct,sma_20,sma_50,volatility_20_pct,drawdown_pct,volume_ratio_20,pre_regular_listing
2025-02-13,SNDK,35.060001373291016,44.0,34.9900016784668,36.0,369100,,,25.69879625959482,,,,,0.0,,True
2025-02-14,SNDK,37.0,38.25,35.505001068115234,36.650001525878906,242700,1.8055597941080803,0.017894531510353584,7.418916032120988,2.777777777777768,,,,0.0,,True
2025-02-18,SNDK,40.52999877929688,47.150001525878906,39.0,47.150001525878906,444500,28.649384891801045,0.2519205714752273,20.108565929792245,10.586622351647845,,,,0.0,,True
2025-02-19,SNDK,46.5099983215332,48.5,45.5,46.0,220700,-2.439027547534034,-0.02469264495259571,6.450225990679212,-1.3573768475795833,,,,-2.439027547534034,,True
2025-02-20,SNDK,48.97999954223633,49.4900016784668,46.709999084472656,48.2599983215332,446200,4.913039829419996,0.0479616289281215,5.6757913841891625,6.478259874426806,,,,0.0,,True
2025-02-21,SNDK,48.9900016784668,50.68999862670898,48.0,50.369998931884766,1252100,4.372152266342066,0.042792713134957694,5.4909135222409,1.5126468759280254,,,,0.0,,True
2025-02-24,SNDK,52.0,53.0,46.209999084472656,48.59999847412109,33848500,-3.513997409762204,-0.035772239042412224,13.057694068321815,3.2360553954338567,,,,-3.513997409762204,,False
2025-02-25,SNDK,48.29999923706055,55.0099983215332,47.810001373291016,48.15999984741211,8198900,-0.9053469969618866,-0.009094701677549555,14.90682621526345,-0.6172824001636212,,,,-4.387530536701489,,False
2025-02-26,SNDK,46.150001525878906,49.90999984741211,45.29999923706055,46.58000183105469,8389000,-3.280726788545296,-0.03335749406612809,9.989166756075782,-4.173584567901967,,,,-7.52431443557361,,False
2025-02-27,SNDK,46.040000915527344,47.869998931884766,41.58000183105469,45.15999984741211,9676100,-3.048522816278354,-0.030959567863451554,13.66202644602626,-1.159297755045019,,,,-10.343456809514972,,False
2025-02-28,SNDK,45.22999954223633,48.70000076293945,43.75,46.84999847412109,7713800,3.7422467502639334,0.03673924021234409,10.944065472114547,0.1550037534560067,,,,-6.988287735570076,,False
2025-03-03,SNDK,48.4900016784668,50.880001068115234,47.60499954223633,50.310001373291016,4813000,7.385278573874787,0.07125291568483139,6.753972803703269,3.5005405715255566,,,,-0.11911367851106247,,False
2025-03-04,SNDK,46.68999862670898,50.09999847412109,45.09700012207031,48.68999862670898,6074700,-3.2200411495955095,-0.03273024980998507,10.715353393025831,-7.195393853644094,,,,-3.3353193186437258,,False
2025-03-05,SNDK,47.59999847412109,49.39799880981445,46.5,48.470001220703125,5071800,-0.45183284495960985,-0.004528566947824331,6.088232988893942,-2.238653077287145,,,,-3.7720820954374124,,False
2025-03-06,SNDK,47.40999984741211,49.060001373291016,45.2400016784668,46.5,4157300,-4.064372129336102,-0.04149276244868849,8.057371244713755,-2.1869225223750455,,,,-7.683142771390871,,False
2025-03-07,SNDK,49.20000076293945,51.130001068115234,47.15999984741211,51.0,7825500,9.677419354838701,0.09237332013101529,8.069108047033977,5.806453253633226,,,,0.0,,False
2025-03-10,SNDK,50.4900016784668,53.66999816894531,49.54999923706055,53.0,5223800,3.9215686274509887,0.03846628082779624,8.160029302676536,-0.9999967088886286,,,,0.0,,False
2025-03-11,SNDK,51.84000015258789,53.18999862670898,49.81999969482422,52.15999984741211,3153400,-1.5849059482790362,-0.015975998859105722,6.500769525396163,-2.1886789573813403,,,,-1.5849059482790362,,False
2025-03-12,SNDK,53.0,53.09999847412109,50.380001068115234,50.43999862670898,2177500,-3.297548362221614,-0.03353143082252741,5.132070577369532,1.6104297451020155,,,,-4.830191270360418,,False
2025-03-13,SNDK,50.0,50.869998931884766,47.86000061035156,48.43999862670898,3547400,-3.965107165845483,-0.04045859353594894,6.019996643066406,-0.8723208538629734,47.439499855041504,,,-8.603776176020794,0.6287152402389097,False
2025-03-14,SNDK,49.43000030517578,54.93999862670898,49.43000030517578,54.81999969482422,4847600,13.170935691557627,0.12372919497322998,11.147073209619721,2.043769006056362,48.380499839782715,,115.56504179688152,0.0,0.8263576661311149,False
2025-03-17,SNDK,54.79999923706055,58.36000061035156,54.744998931884766,55.650001525878906,2930700,1.5140493171747593,0.01502701983299115,6.596718483203951,-0.0364838706220616,49.33049983978272,,115.57983166031353,0.0,0.48839912509113637,False
2025-03-18,SNDK,55.13999938964844,57.88999938964844,54.56999969482422,56.41999816894531,2587300,1.3836417285781,0.01374156797908821,6.021036872640028,-0.9164458620783744,49.793999671936035,,76.8741079350346,0.0,0.42360830844015773,False
2025-03-19,SNDK,56.29999923706055,57.60499954223633,55.66999816894531,56.33000183105469,2520700,-0.15951141583013806,-0.0015963877073748023,3.4369474236462585,-0.21268864902377338,50.31049976348877,,75.96431395524749,-0.15951141583013806,0.40507716425093987,False
2025-03-20,SNDK,56.5099983215332,57.16999816894531,54.91999816894531,56.209999084472656,2701900,-0.21303522577887923,-0.002132624686114859,3.98159629592952,0.3195392945634312,50.707999801635744,,74.72645849607457,-0.37220682610416,0.42646652618951786,False
2025-03-21,SNDK,55.09999847412109,55.45000076293945,51.915000915527344,53.959999084472656,6372200,-4.002846533796756,-0.04085164635358263,6.415607886218725,-1.9747387091813562,50.88749980926514,,75.40082914032796,-4.360154491863644,0.9667218129864653,False
2025-03-24,SNDK,54.61000061035156,55.685001373291016,51.84000015258789,52.9900016784668,3562800,-1.7976230957442385,-0.01813976619294566,7.040837168520904,1.2045988452693335,51.10699996948242,,74.43817991878942,-6.0793984434520105,0.7017156857917739,False
2025-03-25,SNDK,52.130001068115234,53.18000030517578,51.7599983215332,52.20000076293945,3079000,-1.4908490101980365,-0.015020738675540102,2.723963081809924,-1.6229488264029146,51.30900001525879,,74.60939029256747,-7.479612802129843,0.6386277488838533,False
2025-03-26,SNDK,53.52999877929688,53.70000076293945,51.97999954223633,52.619998931884766,1242400,0.8045941816221092,0.008013745809200223,3.213153857512039,2.5478888829857826,51.61099987030029,,73.29355523768962,-6.735199149921534,0.27831884129396756,False
2025-03-27,SNDK,51.95000076293945,54.2400016784668,51.709999084472656,52.880001068115234,1618100,0.4941127736757256,0.004928960428790319,4.87007229420296,-1.2732766677031049,51.99699993133545,,71.98238475640835,-6.274365855578068,0.39844424279957497,False
2025-03-28,SNDK,52.209999084472656,52.88999938964844,48.45500183105469,48.970001220703125,3987300,-7.394099410806742,-0.07681732510048578,8.494536748445809,-1.267023392793698,52.10300006866455,,77.05360617090723,-13.204532417625659,1.029055002684065,False
