model,mean_cv_nrmse_pct,sd_cv_nrmse_pct,mean_cv_mape_pct
CatBoost,134.03130361206468,91.21891309009892,38.90805440147384
Extra Trees,134.24691191311828,108.3668602532969,40.860452212466704
Log drift (63),146.21653507625305,105.89271100143928,46.90531125761867
Random Forest,147.80745316838468,94.88912112461547,43.39833050430343
Ridge,149.05902099778132,76.20347653390135,41.89881482825296
Hist Gradient Boosting,150.29308497501503,100.55606175543382,48.665859597968144
Random walk,152.89985941236043,82.05557222132632,42.313576552260194
XGBoost,154.26085317105606,96.18855364502643,47.846544664861376
