date,Random walk,Log drift (63),Ridge,Random Forest,Extra Trees,Hist Gradient Boosting,XGBoost,CatBoost
2026-09-23,1887.0400390625,1885.8491827263028,1904.938432246002,1935.1110389656537,1920.128157236473,1961.3252226348418,1963.8965755921256,1922.803908432621
2026-09-24,1887.0400390625,1884.6590779050623,1888.764602627937,1942.4572286589553,1938.9458319092644,1930.742663285554,1969.669884340764,1934.7415574952831
2026-09-25,1887.0400390625,1883.4697241245192,1900.943530272253,1969.6306480189685,1965.507399367391,1974.407684601996,2003.6555171293253,1962.1310792331253
2026-09-28,1887.0400390625,1882.2811209107135,1929.2001223661734,1999.9811804138246,1991.8913888421762,2040.9001531243946,2030.9539343761257,1992.3311205955779
2026-09-29,1887.0400390625,1881.0932677899846,1953.0429502979425,2004.347686230058,2011.2137692861845,2011.2356576646005,2033.881856674716,2005.8089966912726
2026-09-30,1887.0400390625,1879.90616428897,1992.2042624435542,2011.655040851431,2032.4684316909695,2015.728588048481,2042.179759133862,2029.8045607599786
2026-10-01,1887.0400390625,1878.7198099346067,2035.048378524049,2025.0762148002445,2053.2083314791444,2066.476403858893,2060.5590717557784,2052.430689119527
2026-10-02,1887.0400390625,1877.5342042541297,2069.574945680886,2037.9448520415938,2074.7028954291845,2069.970854183153,2073.520277192313,2070.1695307002856
2026-10-05,1887.0400390625,1876.3493467750727,2092.3590534327213,2049.5194368680513,2095.395331450198,2051.7068123835797,2092.9044912852737,2091.38615547835
2026-10-06,1887.0400390625,1875.1652370252675,2118.165717156257,2062.415188924351,2116.1984434662145,2073.457414049844,2117.2294579989625,2114.649580445294
2026-10-07,1887.0400390625,1873.9818745328437,2137.146742096118,2074.5067028277513,2133.188980093955,2089.866196218157,2134.2280971190435,2134.3828521479327
2026-10-08,1887.0400390625,1872.799258826229,2156.6212808124296,2086.211827810704,2150.360601323429,2057.1651886473524,2152.640374899757,2154.218593309607
2026-10-09,1887.0400390625,1871.6173894341482,2180.0869888452944,2098.4428564885757,2167.5185980438505,2062.693542694691,2169.0475709361813,2174.452271481673
2026-10-12,1887.0400390625,1870.436265885624,2206.1868926265806,2110.6471247614104,2186.3039013761713,2079.364082961507,2186.462243093388,2195.8399893993287
2026-10-13,1887.0400390625,1869.2558877099762,2233.1020887320983,2123.425499388949,2205.984660010549,2070.9411775005046,2208.21242250604,2218.9532300064266
2026-10-14,1887.0400390625,1868.0762544368213,2262.5107168452582,2136.418438759412,2227.4115087801165,2069.6709530904727,2228.855800259043,2242.9353735587033
2026-10-15,1887.0400390625,1866.897365596073,2291.554546412669,2149.838278213275,2248.2139885822107,2082.9626935245856,2249.6921617307817,2267.1767128441684
2026-10-16,1887.0400390625,1865.7192207179419,2319.382003350938,2163.3424139303143,2269.0582591788043,2093.326825614791,2272.071330772208,2291.031879460153
2026-10-19,1887.0400390625,1864.5418193329342,2346.7354124690687,2175.3941704950735,2289.975171629857,2083.466921011512,2294.673120141652,2314.7748971353385
2026-10-20,1887.0400390625,1863.3651609718534,2376.5627218788118,2186.8543038451057,2307.006532447827,2089.7296334714983,2314.469579086699,2335.6265907403754
2026-10-21,1887.0400390625,1862.1892451657982,2407.461959849202,2198.8566740929914,2324.98825920158,2092.1731277849503,2337.493131745464,2356.7720343356405
2026-10-22,1887.0400390625,1861.0140714461636,2440.7529028737363,2210.924918364269,2340.396441554226,2091.1826644540633,2357.659004788886,2377.763658463201
2026-10-23,1887.0400390625,1859.8396393446408,2474.996253051067,2223.059398203107,2355.0607002588054,2097.0674288598957,2377.998851577975,2397.8939312353937
2026-10-26,1887.0400390625,1858.6659483932158,2510.727151087435,2235.260477137977,2369.8801621486123,2093.2792503258484,2398.514173008039,2418.194627960547
2026-10-27,1887.0400390625,1857.4929981241703,2547.1670741258563,2247.528520692549,2384.370047726501,2091.2416189445503,2419.2064829228107,2438.6369524003503
2026-10-28,1887.0400390625,1856.3207880700807,2584.0601946535044,2259.863896396638,2399.0236891867035,2098.6011109344795,2440.0773082261626,2459.252087011705
2026-10-29,1887.0400390625,1855.1493177638195,2621.4838924853284,2272.266973797218,2414.3582843427266,2092.0725029070522,2461.1281889947745,2480.041492653697
2026-10-30,1887.0400390625,1853.9785867385528,2659.609176874367,2284.738124469489,2429.9042469897263,2090.036046192923,2482.360678591779,2500.619144753385
2026-11-02,1887.0400390625,1852.8085945277417,2698.6287269550303,2297.2777220280122,2445.6801962098193,2097.3912955344044,2503.7763437813846,2521.367535837558
2026-11-03,1887.0400390625,1851.6393406651418,2738.4718543581816,2309.8861421379015,2461.5585694550987,2090.8664511619622,2525.37676484449,2541.9517704600544
2026-11-04,1887.0400390625,1850.4708246848033,2779.1001153614075,2322.5637625260783,2477.5400317049452,2088.831168437822,2547.1635356952916,2562.7040530600757
2026-11-05,1887.0400390625,1849.3030461210697,2820.454287964808,2335.3109629925866,2493.6252522560617,2096.182177576685,2569.138263998903,2583.625755567318
2026-11-06,1887.0400390625,1848.136004508579,2862.6327660099364,2348.128125421972,2509.814904750504,2089.661094689531,2591.3025712899844,2604.718261111797
2026-11-09,1887.0400390625,1846.9696993822622,2905.6675356007854,2361.0156337947215,2526.1096672038916,2087.62698527859,2613.6580930923974,2625.982964115287
2026-11-10,1887.0400390625,1845.8041302773447,2949.4668089116103,2373.9738741987685,2542.510222033805,2094.973756659255,2636.2064790398913,2647.421270383505
